park,hour,weekday,season,Term,cars
North,3,Sunday,Spring,1.0,34.0
North,3,Sunday,Spring,2.0,41.0
North,3,Sunday,Summer,0.0,35.0
North,3,Sunday,Summer,1.0,35.0
North,3,Sunday,Summer,2.0,
North,3,Sunday,Winter,0.0,24.0
North,3,Sunday,Winter,1.0,
North,3,Sunday,Winter,2.0,45.0
North,4,Monday,Fall,0.0,1.0
North,4,Monday,Fall,1.0,
North,4,Monday,Fall,2.0,1.0
North,4,Monday,Spring,0.0,0.0
North,4,Monday,Spring,1.0,1.0
North,4,Monday,Spring,2.0,1.0
North,4,Monday,Summer,0.0,1.0
North,4,Monday,Summer,1.0,1.0
North,4,Monday,Summer,2.0,
North,4,Monday,Winter,0.0,0.0
North,4,Monday,Winter,1.0,
North,4,Monday,Winter,2.0,0.0
North,4,Tuesday,Fall,0.0,
North,4,Tuesday,Fall,1.0,
North,4,Tuesday,Fall,2.0,35.0
North,4,Tuesday,Spring,0.0,18.0
North,4,Tuesday,Spring,1.0,12.0
North,4,Tuesday,Spring,2.0,16.0
North,4,Tuesday,Summer,0.0,24.0
North,4,Tuesday,Summer,1.0,16.0
North,4,Tuesday,Summer,2.0,
North,4,Tuesday,Winter,0.0,9.0
North,4,Tuesday,Winter,1.0,
North,4,Tuesday,Winter,2.0,12.0
North,4,Wednesday,Fall,0.0,13.0
North,4,Wednesday,Fall,1.0,
North,4,Wednesday,Fall,2.0,39.0
North,4,Wednesday,Spring,0.0,28.0
North,4,Wednesday,Spring,1.0,21.0
North,4,Wednesday,Spring,2.0,24.0
North,4,Wednesday,Summer,0.0,28.0
North,4,Wednesday,Summer,1.0,20.0
North,4,Wednesday,Summer,2.0,
North,4,Wednesday,Winter,0.0,17.0
North,4,Wednesday,Winter,1.0,
North,4,Wednesday,Winter,2.0,56.0
North,4,Thursday,Fall,0.0,24.0
North,4,Thursday,Fall,1.0,
North,4,Thursday,Fall,2.0,36.0
North,4,Thursday,Spring,0.0,35.0
North,4,Thursday,Spring,1.0,18.0
North,4,Thursday,Spring,2.0,32.0
North,4,Thursday,Summer,0.0,40.0
North,4,Thursday,Summer,1.0,22.0
North,4,Thursday,Summer,2.0,
North,4,Thursday,Winter,0.0,20.0
North,4,Thursday,Winter,1.0,
North,4,Thursday,Winter,2.0,21.0
North,4,Friday,Fall,0.0,35.0
North,4,Friday,Fall,1.0,
North,4,Friday,Fall,2.0,39.0
North,4,Friday,Spring,0.0,39.0
North,4,Friday,Spring,1.0,27.0
North,4,Friday,Spring,2.0,36.0
North,4,Friday,Summer,0.0,45.0
North,4,Friday,Summer,1.0,30.0
North,4,Friday,Summer,2.0,
North,4,Friday,Winter,0.0,18.0
North,4,Friday,Winter,1.0,
North,4,Friday,Winter,2.0,31.0
North,4,Saturday,Fall,0.0,66.0
North,4,Saturday,Fall,1.0,
North,4,Saturday,Fall,2.0,55.0
North,4,Saturday,Spring,0.0,35.0
North,4,Saturday,Spring,1.0,40.0
North,4,Saturday,Spring,2.0,43.0
North,4,Saturday,Summer,0.0,35.0
North,4,Saturday,Summer,1.0,35.0
North,4,Saturday,Summer,2.0,
North,4,Saturday,Winter,0.0,22.0
North,4,Saturday,Winter,1.0,
North,4,Saturday,Winter,2.0,48.0
North,4,Sunday,Fall,0.0,80.0
North,4,Sunday,Fall,1.0,
North,4,Sunday,Fall,2.0,69.0
North,4,Sunday,Spring,0.0,38.0
North,4,Sunday,Spring,1.0,34.0
North,4,Sunday,Spring,2.0,41.0
North,4,Sunday,Summer,0.0,37.0
North,4,Sunday,Summer,1.0,36.0
North,4,Sunday,Summer,2.0,
North,4,Sunday,Winter,0.0,24.0
North,4,Sunday,Winter,1.0,
North,4,Sunday,Winter,2.0,45.0
North,5,Monday,Fall,0.0,1.0
North,5,Monday,Fall,1.0,
North,5,Monday,Fall,2.0,2.0
North,5,Monday,Spring,0.0,2.0
North,5,Monday,Spring,1.0,1.0
North,5,Monday,Spring,2.0,2.0
North,5,Monday,Summer,0.0,1.0
North,5,Monday,Summer,1.0,1.0
North,5,Monday,Summer,2.0,
North,5,Monday,Winter,0.0,1.0
North,5,Monday,Winter,1.0,
North,5,Monday,Winter,2.0,1.0
North,5,Tuesday,Fall,0.0,
North,5,Tuesday,Fall,1.0,
North,5,Tuesday,Fall,2.0,37.0
North,5,Tuesday,Spring,0.0,20.0
North,5,Tuesday,Spring,1.0,13.0
North,5,Tuesday,Spring,2.0,17.0
North,5,Tuesday,Summer,0.0,24.0
North,5,Tuesday,Summer,1.0,17.0
North,5,Tuesday,Summer,2.0,
North,5,Tuesday,Winter,0.0,9.0
North,5,Tuesday,Winter,1.0,
North,5,Tuesday,Winter,2.0,13.0
North,5,Wednesday,Fall,0.0,13.0
North,5,Wednesday,Fall,1.0,
North,5,Wednesday,Fall,2.0,40.0
North,5,Wednesday,Spring,0.0,28.0
North,5,Wednesday,Spring,1.0,22.0
North,5,Wednesday,Spring,2.0,26.0
North,5,Wednesday,Summer,0.0,28.0
North,5,Wednesday,Summer,1.0,20.0
North,5,Wednesday,Summer,2.0,
North,5,Wednesday,Winter,0.0,18.0
North,5,Wednesday,Winter,1.0,
North,5,Wednesday,Winter,2.0,57.0
North,5,Thursday,Fall,0.0,24.0
North,5,Thursday,Fall,1.0,
North,5,Thursday,Fall,2.0,36.0
North,5,Thursday,Spring,0.0,35.0
North,5,Thursday,Spring,1.0,18.0
North,5,Thursday,Spring,2.0,32.0
North,5,Thursday,Summer,0.0,40.0
North,5,Thursday,Summer,1.0,22.0
North,5,Thursday,Summer,2.0,
North,5,Thursday,Winter,0.0,20.0
North,5,Thursday,Winter,1.0,
North,5,Thursday,Winter,2.0,22.0
North,5,Friday,Fall,0.0,36.0
North,5,Friday,Fall,1.0,
North,5,Friday,Fall,2.0,40.0
North,5,Friday,Spring,0.0,40.0
North,5,Friday,Spring,1.0,28.0
North,5,Friday,Spring,2.0,38.0
North,5,Friday,Summer,0.0,45.0
North,5,Friday,Summer,1.0,31.0
North,5,Friday,Summer,2.0,
North,5,Friday,Winter,0.0,18.0
North,5,Friday,Winter,1.0,
North,5,Friday,Winter,2.0,32.0
North,5,Saturday,Fall,0.0,66.0
North,5,Saturday,Fall,1.0,
North,5,Saturday,Fall,2.0,56.0
North,5,Saturday,Spring,0.0,35.0
North,5,Saturday,Spring,1.0,40.0
North,5,Saturday,Spring,2.0,44.0
North,5,Saturday,Summer,0.0,35.0
North,5,Saturday,Summer,1.0,36.0
North,5,Saturday,Summer,2.0,
North,5,Saturday,Winter,0.0,22.0
North,5,Saturday,Winter,1.0,
North,5,Saturday,Winter,2.0,48.0
North,5,Sunday,Fall,0.0,79.0
North,5,Sunday,Fall,1.0,
North,5,Sunday,Fall,2.0,69.0
North,5,Sunday,Spring,0.0,38.0
North,5,Sunday,Spring,1.0,34.0
North,5,Sunday,Spring,2.0,41.0
North,5,Sunday,Summer,0.0,37.0
North,5,Sunday,Summer,1.0,36.0
North,5,Sunday,Summer,2.0,
North,5,Sunday,Winter,0.0,24.0
North,5,Sunday,Winter,1.0,
North,5,Sunday,Winter,2.0,45.0
North,6,Monday,Fall,0.0,3.0
North,6,Monday,Fall,1.0,
North,6,Monday,Fall,2.0,19.0
North,6,Monday,Spring,0.0,22.0
North,6,Monday,Spring,1.0,16.0
North,6,Monday,Spring,2.0,20.0
North,6,Monday,Summer,0.0,17.0
North,6,Monday,Summer,1.0,18.0
North,6,Monday,Summer,2.0,
North,6,Monday,Winter,0.0,5.0
North,6,Monday,Winter,1.0,
North,6,Monday,Winter,2.0,16.0
North,6,Tuesday,Fall,0.0,
North,6,Tuesday,Fall,1.0,
North,6,Tuesday,Fall,2.0,56.0
North,6,Tuesday,Spring,0.0,40.0
North,6,Tuesday,Spring,1.0,34.0
North,6,Tuesday,Spring,2.0,39.0
North,6,Tuesday,Summer,0.0,43.0
North,6,Tuesday,Summer,1.0,38.0
North,6,Tuesday,Summer,2.0,
North,6,Tuesday,Winter,0.0,16.0
North,6,Tuesday,Winter,1.0,
North,6,Tuesday,Winter,2.0,29.0
North,6,Wednesday,Fall,0.0,39.0
North,6,Wednesday,Fall,1.0,
North,6,Wednesday,Fall,2.0,58.0
North,6,Wednesday,Spring,0.0,45.0
North,6,Wednesday,Spring,1.0,41.0
North,6,Wednesday,Spring,2.0,48.0
North,6,Wednesday,Summer,0.0,44.0
North,6,Wednesday,Summer,1.0,37.0
North,6,Wednesday,Summer,2.0,
North,6,Wednesday,Winter,0.0,30.0
North,6,Wednesday,Winter,1.0,
North,6,Wednesday,Winter,2.0,72.0
North,6,Thursday,Fall,0.0,38.0
North,6,Thursday,Fall,1.0,
North,6,Thursday,Fall,2.0,53.0
North,6,Thursday,Spring,0.0,54.0
North,6,Thursday,Spring,1.0,40.0
North,6,Thursday,Spring,2.0,58.0
North,6,Thursday,Summer,0.0,53.0
North,6,Thursday,Summer,1.0,41.0
North,6,Thursday,Summer,2.0,
North,6,Thursday,Winter,0.0,28.0
North,6,Thursday,Winter,1.0,
North,6,Thursday,Winter,2.0,37.0
North,6,Friday,Fall,0.0,53.0
North,6,Friday,Fall,1.0,
North,6,Friday,Fall,2.0,57.0
North,6,Friday,Spring,0.0,60.0
North,6,Friday,Spring,1.0,48.0
North,6,Friday,Spring,2.0,54.0
North,6,Friday,Summer,0.0,60.0
North,6,Friday,Summer,1.0,47.0
North,6,Friday,Summer,2.0,
North,6,Friday,Winter,0.0,24.0
North,6,Friday,Winter,1.0,
North,6,Friday,Winter,2.0,49.0
North,6,Saturday,Fall,0.0,67.0
North,6,Saturday,Fall,1.0,
North,6,Saturday,Fall,2.0,59.0
North,6,Saturday,Spring,0.0,39.0
North,6,Saturday,Spring,1.0,42.0
North,6,Saturday,Spring,2.0,49.0
North,6,Saturday,Summer,0.0,37.0
North,6,Saturday,Summer,1.0,40.0
North,6,Saturday,Summer,2.0,
North,6,Saturday,Winter,0.0,23.0
