date,index,Actual,North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd
2023-02-08 01:00:00,70,0,2.36642991923076,30.163113321855743,1.949616133685724,0.0,44.31441080555246,46.359360077899154,
2023-02-08 02:00:00,71,0,3.043716454525098,33.338613907826776,1.949616133685724,0.0,40.879757881271104,45.03547985278999,
2023-02-08 03:00:00,72,0,2.742824721432807,30.596856320754988,1.949616133685724,0.0,40.854745150949405,45.01177896606594,
2023-02-08 04:00:00,73,0,3.2978152495140285,33.06120384724539,1.949616133685724,0.0,40.84952560824484,46.22044619487221,
2023-02-08 05:00:00,74,2,6.02963234928126,32.07144785423017,1.949616133685724,0.0,41.14258416434945,47.93522154092004,
2023-02-08 06:00:00,75,17,36.43255145022134,41.160466588868445,2.2103530130396103,10.005191532612308,47.78679189189244,77.63392281309862,
2023-02-08 07:00:00,76,65,61.57295850754663,126.16108426041087,8.743085946787806,142.05503395930282,53.43550432105244,82.69455943030482,
2023-02-08 08:00:00,77,122,124.53916650288734,230.07337231808327,63.55294589680406,336.7220529726235,92.94593037003813,349.8869706728482,
2023-02-08 09:00:00,78,261,257.7220674288469,481.5314435794202,243.1630754202079,601.4769711314657,229.14682871439703,622.1315197651514,
2023-02-08 10:00:00,79,380,410.9411535993149,644.7305446859474,448.9755255448772,760.8777830679021,387.2611260551831,846.3819086458428,
2023-02-08 11:00:00,80,450,473.03172509223975,737.3410958560183,532.6587320262292,855.6858989721283,409.3997845456449,1027.892325247647,
2023-02-08 12:00:00,81,467,501.1845480943016,789.2250515609176,556.9583638417679,886.0341712360591,475.7739712371397,1036.597863381133,
2023-02-08 13:00:00,82,461,490.4276686642991,796.3512300176479,575.0970209998825,883.1656217949269,512.3562572216515,1046.552180782501,
2023-02-08 14:00:00,83,447,486.4918662322582,812.2045492051823,584.3239205592084,880.5730292568205,520.6255859650784,1043.5537603360483,
2023-02-08 15:00:00,84,400,443.9724673629348,751.1872141579165,562.405161682193,837.7996638888706,485.807008793882,1024.902884663185,
2023-02-08 16:00:00,85,298,323.59076085368145,616.8960536891917,453.1420154317671,705.342532113176,388.256907704636,852.6755761113037,
2023-02-08 17:00:00,86,151,143.42131200244086,418.80029445272817,331.2401247718382,426.1319493752025,265.2007479246597,627.4966234291193,
2023-02-08 18:00:00,87,53,43.85315551794237,300.4442731675517,226.77535592254264,215.38144438506347,171.53207552629806,387.9435352902346,
2023-02-08 19:00:00,88,0,1.6478301637520507,179.58465057810417,147.05167518252745,153.14987439281592,117.90231206598312,324.66175443165264,
2023-02-08 20:00:00,89,0,0.9263162274361786,120.55911522520265,93.92394207856417,90.19373741788004,97.26477660645796,266.06296247318573,
2023-02-08 21:00:00,90,1,0.0403805406761732,98.76927961604352,67.64813160532596,65.11409767544093,83.86676964549454,173.87842081241598,
2023-02-08 22:00:00,91,0,0.8634534099941791,70.93686204008972,9.289699937547905,53.35584677284191,68.18976143771711,110.07438714541574,
2023-02-08 23:00:00,92,0,0.0,41.48788981329868,6.066130401066977,41.34701706473435,61.57258636575792,76.9916211454287,
2023-02-09 00:00:00,93,0,0.0,41.56235286619012,3.9556768209293054,3.5642807616257404,68.79665281761677,48.522847316757016,
2023-02-09 01:00:00,94,1,0.6661821680988017,38.785393408363056,3.9534726339166255,3.532469259267937,67.36237440430527,29.279427379627347,
2023-02-09 02:00:00,95,0,0.1510078097211515,33.972113295085286,3.986823453481057,4.171215523723402,65.41045940693193,33.411856122952045,
2023-02-09 03:00:00,96,1,1.7256407588186773,35.548212888663166,2.982199276814768,4.742474236429999,63.19642166965515,35.28326524137994,
2023-02-09 04:00:00,97,1,2.78115637261231,34.81271973745687,2.982199276814768,4.787102651013894,63.191202126950586,35.211484404672795,
2023-02-09 05:00:00,98,2,1.2682833282721822,37.01108924004172,2.982199276814768,4.034229473817165,63.77960535026747,35.48208139279533,
2023-02-09 06:00:00,99,15,8.419795215682095,48.89020420603193,4.184784517862813,24.81362698631421,63.597977078045496,59.83928532169714,
2023-02-09 07:00:00,100,80,54.29738069405471,124.48571106188244,11.80591056609488,142.30870507237006,82.89619823301042,105.03847402352778,
2023-02-09 08:00:00,101,124,123.53309169823528,245.6479819948632,67.8239370742559,336.3265893164196,100.68425858220988,330.6806543864471,
2023-02-09 09:00:00,102,221,250.93556539112143,473.8927945392488,225.7866742339235,606.5391703489558,201.14601572274657,616.2302529655941,
2023-02-09 10:00:00,103,334,366.7328509179793,621.0139862464893,428.3433570764058,781.8329437663658,353.1437280760844,864.7439768365477,
