date,term_date,is_holiday,day_of_week,month,day_of_year,week_of_year,hour,weighted_day_of_year,year,is_month_start,is_month_end,sin_hour,cos_hour,sin_day,cos_day,sin_week,cos_week,sin_month,cos_month,is_day,day_duration,night_duration,lag_7_days_Occupancy
2024-08-07 04:00:00,False,False,2,8,220,32,4,22000,2024,0,0,0.8660254037844386,0.5000000000000001,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,4,14.0
2024-08-07 05:00:00,False,False,2,8,220,32,5,22000,2024,0,0,0.9659258262890683,0.25881904510252074,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,5,21.0
2024-08-07 06:00:00,False,False,2,8,220,32,6,22000,2024,0,0,1.0,6.123233995736766e-17,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,6,0,11.0
2024-08-07 07:00:00,False,False,2,8,220,32,7,22000,2024,0,0,0.9659258262890683,-0.25881904510252063,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,5,0,8.0
2024-08-07 08:00:00,False,False,2,8,220,32,8,22000,2024,0,0,0.8660254037844387,-0.4999999999999998,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,4,0,9.0
2024-08-07 09:00:00,False,False,2,8,220,32,9,22000,2024,0,0,0.7071067811865476,-0.7071067811865475,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,3,0,9.0
2024-08-07 10:00:00,False,False,2,8,220,32,10,22000,2024,0,0,0.49999999999999994,-0.8660254037844387,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,2,0,8.0
2024-08-07 11:00:00,False,False,2,8,220,32,11,22000,2024,0,0,0.258819045102521,-0.9659258262890682,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,1,0,9.0
2024-08-07 12:00:00,False,False,2,8,220,32,12,22000,2024,0,0,1.2246467991473532e-16,-1.0,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,0,0,32.0
2024-08-07 13:00:00,False,False,2,8,220,32,13,22000,2024,0,0,-0.2588190451025208,-0.9659258262890683,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,-1,0,122.0
2024-08-07 14:00:00,False,False,2,8,220,32,14,22000,2024,0,0,-0.4999999999999997,-0.8660254037844388,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,-2,0,174.0
2024-08-07 15:00:00,False,False,2,8,220,32,15,22000,2024,0,0,-0.7071067811865471,-0.7071067811865479,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,-3,0,266.0
2024-08-07 16:00:00,False,False,2,8,220,32,16,22000,2024,0,0,-0.8660254037844385,-0.5000000000000004,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,-4,0,379.0
2024-08-07 17:00:00,False,False,2,8,220,32,17,22000,2024,0,0,-0.9659258262890683,-0.25881904510252063,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,-5,0,408.0
2024-08-07 18:00:00,False,False,2,8,220,32,18,22000,2024,0,0,-1.0,-1.8369701987210297e-16,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,1,-6,0,419.0
2024-08-07 19:00:00,False,False,2,8,220,32,19,22000,2024,0,0,-0.9659258262890684,0.2588190451025203,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,19,423.0
2024-08-07 20:00:00,False,False,2,8,220,32,20,22000,2024,0,0,-0.8660254037844386,0.5000000000000001,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,20,420.0
2024-08-07 21:00:00,False,False,2,8,220,32,21,22000,2024,0,0,-0.7071067811865477,0.7071067811865474,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,21,458.0
2024-08-07 22:00:00,False,False,2,8,220,32,22,22000,2024,0,0,-0.5000000000000004,0.8660254037844384,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,22,368.0
