"TimestampUnix","Vehicles","Parkade"
"1717189140",17,"West"
"1717192740",22,"West"
"1717196340",7,"West"
"1717199940",1,"West"
"1717203540",0,"West"
"1717207140",0,"West"
"1717210740",4,"West"
"1717214340",5,"West"
"1717217940",8,"West"
"1717221540",9,"West"
"1717225140",12,"West"
"1717228740",23,"West"
"1717232340",36,"West"
"1717235940",41,"West"
"1717239540",45,"West"
"1717243140",55,"West"
"1717246740",48,"West"
"1717250340",44,"West"
"1717253940",46,"West"
"1717257540",34,"West"
"1717261140",17,"West"
"1717264740",12,"West"
"1717268340",2,"West"
"1717271940",1,"West"
"1717275540",0,"West"
"1717279140",3,"West"
"1717282740",8,"West"
"1717286340",14,"West"
"1717289940",12,"West"
"1717293540",16,"West"
"1717297140",14,"West"
"1717300740",14,"West"
"1717304340",15,"West"
"1717307940",17,"West"
"1717311540",18,"West"
"1717315140",23,"West"
"1717318740",42,"West"
"1717322340",52,"West"
"1717325940",53,"West"
"1717329540",33,"West"
"1717333140",40,"West"
"1717336740",43,"West"
"1717340340",37,"West"
"1717343940",37,"West"
"1717347540",13,"West"
"1717351140",17,"West"
"1717354740",19,"West"
"1717358340",21,"West"
"1717361940",26,"West"
"1717365540",25,"West"
"1717369140",26,"West"
"1717372740",25,"West"
"1717376340",23,"West"
"1717379940",24,"West"
"1717383540",0,"West"
"1717387140",0,"West"
"1717390740",0,"West"
"1717394340",11,"West"
"1717397940",81,"West"
"1717401540",159,"West"
"1717405140",314,"West"
"1717408740",409,"West"
"1717412340",444,"West"
"1717415940",451,"West"
"1717419540",444,"West"
"1717423140",453,"West"
"1717426740",435,"West"
"1717430340",314,"West"
"1717433940",179,"West"
"1717437540",100,"West"
"1717441140",80,"West"
"1717444740",54,"West"
"1717448340",39,"West"
"1717451940",22,"West"
"1717455540",3,"West"
"1717459140",0,"West"
"1717462740",1,"West"
"1717466340",2,"West"
"1717469940",3,"West"
"1717473540",4,"West"
"1717477140",4,"West"
"1717480740",21,"West"
"1717484340",105,"West"
"1717487940",186,"West"
"1717491540",341,"West"
